step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,f1881n219page1,0.4089654118536405,0.39350748156848014,2.700822528,,What is happening in this image?,"This image captures UCSB students, faculty, and community activists protesting the UC Regents’ decision to end affirmative action in 1995. Demonstrators gathered in Storke Plaza demanding that universities remain accessible to historically marginalized students.",,Learn more,keep-the-doors-jz33-whats-affirmative-action.md,Go deeper,keep-the-doors-jz33-why-is-1995.md,,,
2,f1881n219page1,0.5796104182092918,0.6196222780424769,6.633898016689738,,"What did advocates of affirmative action say? ","At UCSB, protesters' statements reflected broader concerns about access and inequality in higher education. For many supporters of affirmative action, race-neutral admissions policies ignored the structural barriers that continued to shape educational opportunities, necessitating processes considering minority experiences.  Associated Students Executive Vice President for Statewide Affairs at the time, Kris Kohler, stated “The regents voted to blind themselves to the very real consequences of racism and sexism.” ",,,,,,,,
3,c247dt33gpage1,0.4636846555402214,0.743485401694472,5.7647386861313885,,How did critics of the policy respond?,"Many students, faculty, and administrators found the Regents’ decision to be the correct one. In “The Reader’s Voice” section of the Daily Nexus, an article titled “Right on Pete” outlined one student’s belief that “there is great diversity of cultures on ALL UC campuses,” and that, “society has improved itself as its population is educated and understood.” These views are representative of arguments by opponents of affirmative action who advocated a “color-blind” society, ignoring (or disregarding) the continuation of racial inequality in higher education and society.",,Learn more,keep-the-doors-jz33-why-did-they.md,Go deeper,keep-the-doors-jz33-what-influenced-their.md,,,
4,protest-group,0.5237559171546011,0.49509281647153935,5.74940693430657,,What did protesters do to respond?,"To emphasize the importance of continuing affirmative action, advocates mobilized by developing UC-wide organizations to advocate affirmative action, such as the California Students Civil Rights Organization. This group staged demonstrations at UC Regents board meetings and organized rallies and teach-ins at UCSB for the 1995 National Day of Action.  ",,Learn more,keep-the-doors-jz33-who-else-got.md,,,,,
5,05741t04vpage1,0.4160561351486636,0.35242919038173187,3.5831807999999983,,What else did protesters do to respond?,"Opposition to the Regents' decision was so intense that the Daily Nexus filed a lawsuit against them in 1996 in an attempt to nullify their 1995 vote on SP-1, which eliminated affirmative action.",,,keep-the-doors-jz33-how-did-the.md,,,,,
6,nadia-kim,0.47413393143008375,0.2325494043906312,3.8178832116788324,,Why were these debates important to protesters?,"At UCSB, these broader political debates became personal because students viewed admissions policies through the lens of their own educational experiences. Differences in school funding, access to standardized testing resources, and neighborhood segregation all shaped educational opportunities in unequal ways, and conversations about “merit” did not recognize this. ",,Learn more,keep-the-doors-jz33-what-were-the.md,Go deeper,keep-the-doors-jz33-what-implications-did.md,,,
7,f1881n219page1,0.5005240763172992,0.38531794345646353,2.16,,What larger story does this image tell?,"This image reflects how the debates taking place at UCSB in the mid-1990s continue to resonate today. Many of the arguments then remain central to discussions surrounding diversity, equity, and inclusion programs in higher education now. Recent attacks on DEI initiatives frequently echo the language used during the Proposition 209 era, framing diversity programs as discriminatory or politically divisive. Supporters of DEI programs, meanwhile, continue to argue that ignoring race does not eliminate inequality and that universities still have responsibilities to create inclusive educational environments.",,Learn more,keep-the-doors-jz33-why-is-this.md,,,,,
